"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"696","Amazilia saucerrottei","Saucerottia saucerottei","Amazilia saucerottei","Trochilidae (Hummingbirds)","Steely-vented Hummingbird",0.508212648,NA,NA,NA,NA
"697","Amazilia cyanifrons","Saucerottia cyanifrons","Amazilia cyanifrons","Trochilidae (Hummingbirds)","Indigo-capped Hummingbird",0.953337119,NA,NA,NA,NA
"698","Amazilia viridigaster","Saucerottia viridigaster","Amazilia viridigaster","Trochilidae (Hummingbirds)","Green-bellied Hummingbird",0.487844519,NA,NA,NA,NA
"699","Amazilia tobaci","Saucerottia tobaci","Amazilia tobaci","Trochilidae (Hummingbirds)","Copper-rumped Hummingbird",2.972951927,NA,NA,NA,NA
"700","Amazilia rutila","Amazilia rutila","Amazilia rutila","Trochilidae (Hummingbirds)","Cinnamon Hummingbird",1.31648504475,NA,NA,NA,NA
"701","Amazilia yucatanensis","Amazilia yucatanensis","Amazilia yucatanensis","Trochilidae (Hummingbirds)","Buff-bellied Hummingbird",2.1778901978,NA,NA,NA,NA
"702","Amazilia tzacatl","Amazilia tzacatl","Amazilia tzacatl","Trochilidae (Hummingbirds)","Rufous-tailed Hummingbird",0.9391845716,NA,NA,NA,NA
"703","Amazilia amazilia","Amazilis amazilia","Amazilia amazilia","Trochilidae (Hummingbirds)","Amazilia Hummingbird",2.20334800033333,NA,NA,NA,NA
"704","Amazilia franciae","Uranomitra franciae","Amazilia franciae","Trochilidae (Hummingbirds)","Andean Emerald",0.5570442035,NA,NA,NA,NA
"705","Amazilia versicolor","Chrysuronia versicolor","Amazilia versicolor","Trochilidae (Hummingbirds)","Versicolored Emerald",1.670606303,NA,NA,NA,NA
"706","Lepidopyga goudoti","Chrysuronia goudoti","Amazilia goudoti","Trochilidae (Hummingbirds)","Shining-green Hummingbird",1.428954649,NA,NA,NA,NA
"707","Chrysuronia oenone","Chrysuronia oenone","Amazilia oenone","Trochilidae (Hummingbirds)","Golden-tailed Sapphire",0.690584228666667,NA,NA,NA,NA
"708","Lepidopyga coeruleogularis","Chrysuronia coeruleogularis","Amazilia coeruleogularis","Trochilidae (Hummingbirds)","Sapphire-throated Hummingbird",2.57612975,NA,NA,NA,NA
"709","Amazilia brevirostris","Chrysuronia brevirostris","Amazilia brevirostris","Trochilidae (Hummingbirds)","White-chested Emerald",2.412218535,NA,NA,NA,NA
"710","Amazilia leucogaster","Chrysuronia leucogaster","Amazilia leucogaster","Trochilidae (Hummingbirds)","Plain-bellied Emerald",2.979540099,NA,NA,NA,NA
"711","Leucochloris albicollis","Leucochloris albicollis","Leucochloris albicollis","Trochilidae (Hummingbirds)","White-throated Hummingbird",2.09300939433333,NA,NA,NA,NA
"712","Amazilia fimbriata","Chionomesa fimbriata","Amazilia fimbriata","Trochilidae (Hummingbirds)","Glittering-throated Emerald",1.99739968609091,NA,NA,NA,NA
"713","Amazilia lactea","Chionomesa lactea","Amazilia lactea","Trochilidae (Hummingbirds)","Sapphire-spangled Emerald",1.2683757745,NA,NA,NA,NA
"714","Hylocharis chrysura","Hylocharis chrysura","Amazilia chrysura","Trochilidae (Hummingbirds)","Gilded Hummingbird",2.9654159075,NA,NA,NA,NA
"715","Amazilia chionogaster","Elliotomyia chionogaster","Amazilia chionogaster","Trochilidae (Hummingbirds)","White-bellied Hummingbird",1.430324358,NA,NA,NA,NA
"716","Amazilia viridicauda","Elliotomyia viridicauda","Amazilia viridicauda","Trochilidae (Hummingbirds)","Green-and-white Hummingbird",0.493975398,NA,NA,NA,NA
"717","Amazilia amabilis","Polyerata amabilis","Amazilia amabilis","Trochilidae (Hummingbirds)","Blue-chested Hummingbird",0.546925458,NA,NA,NA,NA
"718","Amazilia candida","Chlorestes candida","Amazilia candida","Trochilidae (Hummingbirds)","White-bellied Emerald",0.418072664666667,NA,NA,NA,NA
"719","Hylocharis eliciae","Chlorestes eliciae","Amazilia eliciae","Trochilidae (Hummingbirds)","Blue-throated Goldentail",0.1084416675,NA,NA,NA,NA
"720","Damophila julie","Chlorestes julie","Amazilia julie","Trochilidae (Hummingbirds)","Violet-bellied Hummingbird",0.683696534,NA,NA,NA,NA
"721","Opisthocomus hoazin","Opisthocomus hoazin","Opisthocomus hoazin","Opisthocomidae (Hoatzin)","Hoatzin",0.549729065,NA,NA,NA,NA
"722","Rallus longirostris","Rallus obsoletus","Rallus obsoletus","Rallidae (Rails, Gallinules, and Coots)","Ridgway's Rail",1.593038255,"Rallus obsoletus",2.738340714,"Rallus longirostris","N"
"723","Rallus elegans","Rallus elegans","Rallus elegans","Rallidae (Rails, Gallinules, and Coots)","King Rail",0.782483041,"Rallus elegans",-0.875336956,"Rallus elegans","N"
"724","Rallus longirostris","Rallus crepitans","Rallus crepitans","Rallidae (Rails, Gallinules, and Coots)","Clapper Rail",1.364332169,"Rallus crepitans",-0.585008904,"Rallus longirostris","N"
"725","Rallus limicola","Rallus limicola","Rallus limicola","Rallidae (Rails, Gallinules, and Coots)","Virginia Rail",1.43235217594118,"Rallus limicola",1.764891207,"Rallus limicola","N"
"726","Rallus semiplumbeus","Rallus semiplumbeus","Rallus semiplumbeus","Rallidae (Rails, Gallinules, and Coots)","Bogota Rail",1.948963563,NA,NA,NA,NA
"727","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallidae (Rails, Gallinules, and Coots)","Water Rail",1.19467208253333,NA,NA,"Rallus aquaticus","U"
"728","Rallus aquaticus","Rallus indicus","Rallus indicus","Rallidae (Rails, Gallinules, and Coots)","Brown-cheeked Rail",1.95716238,NA,NA,NA,NA
"729","Dryolimnas cuvieri","Dryolimnas cuvieri","Dryolimnas cuvieri","Rallidae (Rails, Gallinules, and Coots)","White-throated Rail",1.083726649,NA,NA,NA,NA
"730","Rougetius rougetii","Rougetius rougetii","Rougetius rougetii","Rallidae (Rails, Gallinules, and Coots)","Rouget's Rail",2.175808739,NA,NA,NA,NA
"731","Gallirallus striatus","Lewinia striata","Lewinia striata","Rallidae (Rails, Gallinules, and Coots)","Slaty-breasted Rail",1.68194692925,NA,NA,NA,NA
"732","Lewinia pectoralis","Lewinia pectoralis","Lewinia pectoralis","Rallidae (Rails, Gallinules, and Coots)","Lewin's Rail",1.60007064566667,NA,NA,NA,NA
"733","Eulabeornis castaneoventris","Gallirallus castaneoventris","Eulabeornis castaneoventris","Rallidae (Rails, Gallinules, and Coots)","Chestnut Rail",1.156716899,NA,NA,NA,NA
"734","Gallirallus australis","Gallirallus australis","Gallirallus australis","Rallidae (Rails, Gallinules, and Coots)","Weka",0.110806108,NA,NA,NA,NA
"735","Gallirallus okinawae","Gallirallus okinawae","Hypotaenidia okinawae","Rallidae (Rails, Gallinules, and Coots)","Okinawa Rail",0.227307254,NA,NA,NA,NA
"736","Gallirallus philippensis","Gallirallus philippensis","Hypotaenidia philippensis","Rallidae (Rails, Gallinules, and Coots)","Buff-banded Rail",1.68081866975,NA,NA,NA,NA
"737","Gallirallus torquatus","Gallirallus torquatus","Hypotaenidia torquata","Rallidae (Rails, Gallinules, and Coots)","Barred Rail",1.681367809,NA,NA,NA,NA
"738","Porzana albicollis","Mustelirallus albicollis","Porzana albicollis","Rallidae (Rails, Gallinules, and Coots)","Ash-throated Crake",1.954074384,NA,NA,NA,NA
"739","Pardirallus nigricans","Pardirallus nigricans","Pardirallus nigricans","Rallidae (Rails, Gallinules, and Coots)","Blackish Rail",2.579482545,NA,NA,NA,NA
"740","Pardirallus sanguinolentus","Pardirallus sanguinolentus","Pardirallus sanguinolentus","Rallidae (Rails, Gallinules, and Coots)","Plumbeous Rail",1.624513369375,NA,NA,NA,NA
"741","Aramides ypecaha","Aramides ypecaha","Aramides ypecaha","Rallidae (Rails, Gallinules, and Coots)","Giant Wood-Rail",2.001981558,NA,NA,NA,NA
"742","Aramides cajanea","Aramides albiventris","Aramides albiventris","Rallidae (Rails, Gallinules, and Coots)","Russet-naped Wood-Rail",1.35255105,NA,NA,NA,NA
"743","Aramides cajanea","Aramides cajaneus","Aramides cajaneus","Rallidae (Rails, Gallinules, and Coots)","Gray-cowled Wood-Rail",1.98059811258333,NA,NA,NA,NA
"744","Aramides saracura","Aramides saracura","Aramides saracura","Rallidae (Rails, Gallinules, and Coots)","Slaty-breasted Wood-Rail",2.671109525,NA,NA,NA,NA
"745","Gallinula ventralis","Tribonyx ventralis","Tribonyx ventralis","Rallidae (Rails, Gallinules, and Coots)","Black-tailed Nativehen",1.59552576566667,NA,NA,NA,NA
"746","Gallinula mortierii","Tribonyx mortierii","Tribonyx mortierii","Rallidae (Rails, Gallinules, and Coots)","Tasmanian Nativehen",0.661412864,NA,NA,"Gallinula mortierii","N"
"747","Gallinula melanops","Porphyriops melanops","Porphyriops melanops","Rallidae (Rails, Gallinules, and Coots)","Spot-flanked Gallinule",2.1198854382,NA,NA,NA,NA
"748","Porzana carolina","Porzana carolina","Porzana carolina","Rallidae (Rails, Gallinules, and Coots)","Sora",1.48873993540741,"Porzana carolina",-0.205106789,NA,NA
"749","Porzana fluminea","Porzana fluminea","Porzana fluminea","Rallidae (Rails, Gallinules, and Coots)","Australian Crake",1.50567092166667,NA,NA,NA,NA
"750","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Rallidae (Rails, Gallinules, and Coots)","Eurasian Moorhen",1.950865069,NA,NA,"Gallinula chloropus","U"
"751","Gallinula chloropus","Gallinula galeata","Gallinula galeata","Rallidae (Rails, Gallinules, and Coots)","Common Gallinule",1.76994644379412,"Gallinula galeata",0.955433695,NA,NA
"752","Gallinula tenebrosa","Gallinula tenebrosa","Gallinula tenebrosa","Rallidae (Rails, Gallinules, and Coots)","Dusky Moorhen",2.088401645,NA,NA,NA,NA
"753","Fulica rufifrons","Fulica rufifrons","Fulica rufifrons","Rallidae (Rails, Gallinules, and Coots)","Red-fronted Coot",1.7343717294,NA,NA,NA,NA
"754","Fulica armillata","Fulica armillata","Fulica armillata","Rallidae (Rails, Gallinules, and Coots)","Red-gartered Coot",1.87171285366667,NA,NA,NA,NA
"755","Fulica atra","Fulica atra","Fulica atra","Rallidae (Rails, Gallinules, and Coots)","Eurasian Coot",1.70235462048077,NA,NA,"Fulica atra","U"
"756","Fulica cristata","Fulica cristata","Fulica cristata","Rallidae (Rails, Gallinules, and Coots)","Red-knobbed Coot",1.4461386105,NA,NA,"Fulica cristata","N"
"757","Fulica alai","Fulica alai","Fulica alai","Rallidae (Rails, Gallinules, and Coots)","Hawaiian Coot",1.49443645,NA,NA,NA,NA
"758","Fulica americana","Fulica americana","Fulica americana","Rallidae (Rails, Gallinules, and Coots)","American Coot",1.85331732152778,"Fulica americana",-0.187335688,"Fulica americana","N"
"759","Fulica ardesiaca","Fulica ardesiaca","Fulica ardesiaca","Rallidae (Rails, Gallinules, and Coots)","Slate-colored Coot",1.04183641,NA,NA,NA,NA
"760","Fulica leucoptera","Fulica leucoptera","Fulica leucoptera","Rallidae (Rails, Gallinules, and Coots)","White-winged Coot",1.801311044,NA,NA,NA,NA
"761","Porphyrio martinica","Porphyrio martinica","Porphyrio martinicus","Rallidae (Rails, Gallinules, and Coots)","Purple Gallinule",1.59709518011111,NA,NA,NA,NA
"762","Porphyrio porphyrio","Porphyrio madagascariensis","Porphyrio porphyrio","Rallidae (Rails, Gallinules, and Coots)","African Swamphen",1.78625968066667,NA,NA,NA,NA
"763","Porphyrio hochstetteri","Porphyrio hochstetteri","Porphyrio hochstetteri","Rallidae (Rails, Gallinules, and Coots)","South Island Takahe",0.020915848,NA,NA,NA,NA
"764","Porzana cinerea","Poliolimnas cinereus","Amaurornis cinerea","Rallidae (Rails, Gallinules, and Coots)","White-browed Crake",1.6370878808,NA,NA,NA,NA
"765","Gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","Rallidae (Rails, Gallinules, and Coots)","Watercock",1.59206299666667,NA,NA,NA,NA
"766","Amaurornis olivacea","Amaurornis olivacea","Amaurornis olivacea","Rallidae (Rails, Gallinules, and Coots)","Plain Bush-hen",1.034118155,NA,NA,NA,NA
"767","Amaurornis phoenicurus","Amaurornis phoenicurus","Amaurornis phoenicurus","Rallidae (Rails, Gallinules, and Coots)","White-breasted Waterhen",1.91398328722222,NA,NA,NA,NA
"768","Amaurornis moluccana","Amaurornis moluccana","Amaurornis moluccana","Rallidae (Rails, Gallinules, and Coots)","Pale-vented Bush-hen",1.664034981,NA,NA,NA,NA
"769","Rallina canningi","Rallina canningi","Rallina canningi","Rallidae (Rails, Gallinules, and Coots)","Andaman Crake",0.119254389,NA,NA,NA,NA
"770","Rallina fasciata","Rallina fasciata","Rallina fasciata","Rallidae (Rails, Gallinules, and Coots)","Red-legged Crake",3.311833145,NA,NA,NA,NA
"771","Rallina eurizonoides","Rallina eurizonoides","Rallina eurizonoides","Rallidae (Rails, Gallinules, and Coots)","Slaty-legged Crake",1.7153947655,NA,NA,NA,NA
"772","Porzana fusca","Zapornia fusca","Zapornia fusca","Rallidae (Rails, Gallinules, and Coots)","Ruddy-breasted Crake",2.17240620716667,NA,NA,NA,NA
"773","Amaurornis flavirostra","Zapornia flavirostra","Zapornia flavirostra","Rallidae (Rails, Gallinules, and Coots)","Black Crake",1.21159976242857,NA,NA,NA,NA
"774","Porzana pusilla","Zapornia pusilla","Zapornia pusilla","Rallidae (Rails, Gallinules, and Coots)","Baillon's Crake",1.89125227142857,NA,NA,NA,NA
"775","Porzana tabuensis","Zapornia tabuensis","Zapornia tabuensis","Rallidae (Rails, Gallinules, and Coots)","Spotless Crake",1.554553027,NA,NA,NA,NA
"776","Coturnicops noveboracensis","Coturnicops noveboracensis","Coturnicops noveboracensis","Rallidae (Rails, Gallinules, and Coots)","Yellow Rail",0.002293022,NA,NA,NA,NA
"777","Laterallus melanophaius","Laterallus melanophaius","Laterallus melanophaius","Rallidae (Rails, Gallinules, and Coots)","Rufous-sided Crake",2.76016692,NA,NA,NA,NA
"778","Laterallus ruber","Laterallus ruber","Laterallus ruber","Rallidae (Rails, Gallinules, and Coots)","Ruddy Crake",1.38017957366667,NA,NA,NA,NA
"779","Laterallus albigularis","Laterallus albigularis","Laterallus albigularis","Rallidae (Rails, Gallinules, and Coots)","White-throated Crake",0.737089164666667,NA,NA,NA,NA
"780","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Rallidae (Rails, Gallinules, and Coots)","Black Rail",0.890100336,NA,NA,NA,NA
"781","Aramus guarauna","Aramus guarauna","Aramus guarauna","Aramidae (Limpkin)","Limpkin",1.64868802581818,NA,NA,NA,NA
"782","Balearica regulorum","Balearica regulorum","Balearica regulorum","Gruidae (Cranes)","Gray Crowned-Crane",0.8360286015,NA,NA,NA,NA
"783","Grus paradisea","Anthropoides paradiseus","Anthropoides paradiseus","Gruidae (Cranes)","Blue Crane",0.815857199,NA,NA,NA,NA
"784","Grus leucogeranus","Leucogeranus leucogeranus","Leucogeranus leucogeranus","Gruidae (Cranes)","Siberian Crane",2.243728968,NA,NA,NA,NA
"785","Grus canadensis","Antigone canadensis","Antigone canadensis","Gruidae (Cranes)","Sandhill Crane",0.744852137833333,"Antigone canadensis",-1.210054524,"Grus canadensis","U"
"786","Grus antigone","Antigone antigone","Antigone antigone","Gruidae (Cranes)","Sarus Crane",1.307275498,NA,NA,"Grus antigone","N"
"787","Grus rubicunda","Antigone rubicunda","Antigone rubicunda","Gruidae (Cranes)","Brolga",0.252714235666667,NA,NA,"Grus rubicunda","N"
"788","Grus grus","Grus grus","Grus grus","Gruidae (Cranes)","Common Crane",0.869288594,NA,NA,"Grus grus","N"
"789","Grus americana","Grus americana","Grus americana","Gruidae (Cranes)","Whooping Crane",0.307590046,NA,NA,"Grus americana","N"
"790","Pluvianellus socialis","Pluvianellus socialis","Pluvianellus socialis","Pluvianellidae (Magellanic Plover)","Magellanic Plover",0,NA,NA,NA,NA
"791","Burhinus vermiculatus","Burhinus vermiculatus","Burhinus vermiculatus","Burhinidae (Thick-knees)","Water Thick-knee",1.1696490145,NA,NA,NA,NA
"792","Burhinus oedicnemus","Burhinus oedicnemus","Burhinus oedicnemus","Burhinidae (Thick-knees)","Eurasian Thick-knee",1.39475099166667,NA,NA,"Burhinus oedicnemus","N"
"793","Burhinus oedicnemus","Burhinus indicus","Burhinus indicus","Burhinidae (Thick-knees)","Indian Thick-knee",2.0999885,NA,NA,NA,NA
"794","Burhinus senegalensis","Burhinus senegalensis","Burhinus senegalensis","Burhinidae (Thick-knees)","Senegal Thick-knee",1.190250185,NA,NA,NA,NA
"795","Burhinus capensis","Burhinus capensis","Burhinus capensis","Burhinidae (Thick-knees)","Spotted Thick-knee",2.3516027035,NA,NA,NA,NA
"796","Burhinus bistriatus","Burhinus bistriatus","Burhinus bistriatus","Burhinidae (Thick-knees)","Double-striped Thick-knee",0.5761154405,NA,NA,NA,NA
"797","Burhinus superciliaris","Burhinus superciliaris","Burhinus superciliaris","Burhinidae (Thick-knees)","Peruvian Thick-knee",1.2438316945,NA,NA,NA,NA
"798","Burhinus grallarius","Burhinus grallarius","Burhinus grallarius","Burhinidae (Thick-knees)","Bush Thick-knee",1.84888525566667,NA,NA,"Burhinus grallarius","U"
"799","Esacus giganteus","Esacus magnirostris","Esacus magnirostris","Burhinidae (Thick-knees)","Beach Thick-knee",1.10082402933333,NA,NA,NA,NA
"800","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Black-winged Stilt",1.50524461185714,NA,NA,NA,NA
"801","Himantopus leucocephalus","Himantopus leucocephalus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Pied Stilt",1.15741472466667,NA,NA,NA,NA
"802","Himantopus novaezelandiae","Himantopus novaezelandiae","Himantopus novaezelandiae","Recurvirostridae (Stilts and Avocets)","Black Stilt",0.209469405,NA,NA,NA,NA
"803","Himantopus mexicanus","Himantopus mexicanus","Himantopus himantopus","Recurvirostridae (Stilts and Avocets)","Black-necked Stilt",1.45677923434884,"Himantopus mexicanus",0.876865283,NA,NA
"804","Cladorhynchus leucocephalus","Cladorhynchus leucocephalus","Cladorhynchus leucocephalus","Recurvirostridae (Stilts and Avocets)","Banded Stilt",0.832276966,NA,NA,NA,NA
"805","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostridae (Stilts and Avocets)","Pied Avocet",1.52507680607143,NA,NA,NA,NA
"806","Recurvirostra novaehollandiae","Recurvirostra novaehollandiae","Recurvirostra novaehollandiae","Recurvirostridae (Stilts and Avocets)","Red-necked Avocet",1.3073884364,NA,NA,NA,NA
"807","Recurvirostra americana","Recurvirostra americana","Recurvirostra americana","Recurvirostridae (Stilts and Avocets)","American Avocet",1.46115108665,"Recurvirostra americana",-0.525644467,NA,NA
"808","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopodidae (Oystercatchers)","Eurasian Oystercatcher",1.63923602392308,NA,NA,NA,NA
"809","Haematopus longirostris","Haematopus longirostris","Haematopus longirostris","Haematopodidae (Oystercatchers)","Pied Oystercatcher",1.030123677125,NA,NA,NA,NA
"810","Haematopus finschi","Haematopus finschi","Haematopus finschi","Haematopodidae (Oystercatchers)","South Island Oystercatcher",0.619925707,NA,NA,NA,NA
"811","Haematopus unicolor","Haematopus unicolor","Haematopus unicolor","Haematopodidae (Oystercatchers)","Variable Oystercatcher",0.4953283875,NA,NA,NA,NA
"812","Haematopus fuliginosus","Haematopus fuliginosus","Haematopus fuliginosus","Haematopodidae (Oystercatchers)","Sooty Oystercatcher",0.886613540833333,NA,NA,NA,NA
"813","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopodidae (Oystercatchers)","American Oystercatcher",1.31368834707143,"Haematopus palliatus",0.57896292,NA,NA
"814","Haematopus moquini","Haematopus moquini","Haematopus moquini","Haematopodidae (Oystercatchers)","African Oystercatcher",1.433498153,NA,NA,NA,NA
"815","Haematopus ater","Haematopus ater","Haematopus ater","Haematopodidae (Oystercatchers)","Blackish Oystercatcher",1.36573677025,NA,NA,NA,NA
"816","Haematopus leucopodus","Haematopus leucopodus","Haematopus leucopodus","Haematopodidae (Oystercatchers)","Magellanic Oystercatcher",1.0687065925,NA,NA,NA,NA
"817","Haematopus bachmani","Haematopus bachmani","Haematopus ater","Haematopodidae (Oystercatchers)","Black Oystercatcher",1.510740241,"Haematopus bachmani",-1.130625617,NA,NA
"818","Pluvialis squatarola","Pluvialis squatarola","Pluvialis squatarola","Charadriidae (Plovers and Lapwings)","Black-bellied Plover",1.4958974138125,NA,NA,NA,NA
